"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:2001233","GO:2001233","regulation of apoptotic signaling pathway","45/814","374/18903",4.77374990040484e-10,2.0694205818255e-07,1.55858746748305e-07,"AKT1/CAV1/CD44/CFLAR/CLU/CSNK2A1/CTNNB1/CTSC/DDX3X/DNAJA1/ERP29/GHITM/GNAI3/HERPUD1/HIF1A/HNRNPK/HYOU1/IFI6/ITGA6/ITGAV/NCK1/NCK2/PAK2/PARK7/PPIA/PTEN/PTTG1IP/RB1/SELENOS/SERINC3/SKIL/SLC25A5/SOD2/SP100/TAF9/TMBIM6/TPT1/TRAF7/UBB/UBQLN1/URI1/VDAC2/XBP1/YAP1/YBX3",45
"GO:0032956","GO:0032956","regulation of actin cytoskeleton organization","44/814","365/18903",7.03237856286266e-10,2.81403332953935e-07,2.11939376607084e-07,"ACTG1/ADD3/AKAP13/ARAP1/ARF1/ARF6/ARFGEF1/ARHGAP18/ARPC1A/ARPC1B/ARPC2/ARPC3/ARPC5/BAIAP2L2/CAPZA2/CD2AP/CD47/CDC42/CYFIP1/EPS8/FLNA/GRB2/GSN/IQGAP1/MDK/MTPN/NCK1/NCK2/NEDD9/PAK2/PAM/PIK3CA/RAC1/RHOA/RHOB/RHOBTB3/RND3/ROCK1/TACSTD2/TAOK1/TJP1/TMOD3/VASP/WASF2",44
"GO:0007015","GO:0007015","actin filament organization","50/814","454/18903",1.14595231593244e-09,4.25803139105753e-07,3.20694324804551e-07,"ACTG1/ACTR2/ACTR3/ADD3/ARAP1/ARF1/ARF6/ARFGEF1/ARHGAP18/ARPC1A/ARPC1B/ARPC2/ARPC3/ARPC5/BAIAP2L2/CAPZA2/CD2AP/CD47/CDC42/CYFIP1/EMP2/EPS8/FLNA/GRB2/GSN/MARCKS/MARCKSL1/MTPN/NCK1/NCK2/NEDD9/PAK2/PDLIM1/PIK3CA/PLEC/PLS3/PRKCI/RAC1/RHOA/RHOB/RHOBTB3/RND3/ROCK1/SORBS2/TACSTD2/TJP1/TMOD3/TPM3/VASP/WASF2",50
"GO:0048545","GO:0048545","response to steroid hormone","40/814","339/18903",7.81032692333157e-09,2.70862137701139e-06,2.04000258306246e-06,"ADAM9/ANXA3/AREG/ARID1A/CALM3/CAV1/CFLAR/DDX17/DDX5/DNAJA1/EIF4E/ERRFI1/FOS/HNRNPU/HSPA8/IGFBP7/IL1RN/MDK/NCOA4/NR3C1/PAM/PARK7/PHB2/PIK3CA/RBFOX2/RHOA/RWDD1/SDC1/SSTR2/STRN3/TAF7/TGFBR2/TXNIP/UBE2L3/URI1/USP8/YAP1/YWHAH/ZFP36L1/ZFP36L2",40
"GO:0006446","GO:0006446","regulation of translational initiation","18/814","82/18903",9.38314538954111e-09,2.74974830154409e-06,2.0709773929758e-06,"BZW1/CSDE1/DDX3X/EIF1/EIF2AK2/EIF3H/EIF4B/EIF4G2/EIF4H/EIF5/EIF5B/LARP1/NCK1/NCK2/NPM1/PAIP1/SH3BGRL/TMED2",18
"GO:2001243","GO:2001243","negative regulation of intrinsic apoptotic signaling pathway","20/814","101/18903",9.43013967851122e-09,2.74974830154409e-06,2.0709773929758e-06,"AKT1/CD44/CLU/DDX3X/DNAJA1/HERPUD1/HIF1A/HYOU1/PARK7/PPIA/PTTG1IP/SELENOS/SOD2/TAF9/TMBIM6/TPT1/URI1/VDAC2/XBP1/YBX3",20
"GO:1902903","GO:1902903","regulation of supramolecular fiber organization","43/814","384/18903",1.03952708169622e-08,2.74974830154409e-06,2.0709773929758e-06,"ACTG1/ADD3/AKAP13/ARAP1/ARF1/ARF6/ARFGEF1/ARHGAP18/ARPC1A/ARPC1B/ARPC2/ARPC3/ARPC5/BAIAP2L2/CAPZA2/CD47/CDC42/CDKN1B/CLU/CYFIP1/EPS8/FLNA/GRB2/GSN/HSPA8/MAPRE1/MTPN/NCK1/NCK2/OCLN/PAK2/PARK7/PIK3CA/RAC1/RB1/RHOA/ROCK1/TACSTD2/TAOK1/TJP1/TMOD3/VASP/WASF2",43
"GO:0000377","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","39/814","329/18903",1.05718888948254e-08,2.74974830154409e-06,2.0709773929758e-06,"CELF1/DDX17/DDX5/EIF4A3/HNRNPA2B1/HNRNPA3/HNRNPC/HNRNPF/HNRNPH3/HNRNPK/HNRNPL/HNRNPR/HNRNPU/HSPA8/LSM3/NCL/NPM1/PABPC1/PRDX6/PRPF40A/RBFOX2/RBM25/RBM39/RBM8A/RNPS1/RSRC1/SAP18/SF1/SF3B1/SNRPG/SON/SRSF10/SRSF2/SRSF5/STRAP/THRAP3/TIA1/WTAP/ZCRB1",39
"GO:0000398","GO:0000398","mRNA splicing, via spliceosome","39/814","329/18903",1.05718888948254e-08,2.74974830154409e-06,2.0709773929758e-06,"CELF1/DDX17/DDX5/EIF4A3/HNRNPA2B1/HNRNPA3/HNRNPC/HNRNPF/HNRNPH3/HNRNPK/HNRNPL/HNRNPR/HNRNPU/HSPA8/LSM3/NCL/NPM1/PABPC1/PRDX6/PRPF40A/RBFOX2/RBM25/RBM39/RBM8A/RNPS1/RSRC1/SAP18/SF1/SF3B1/SNRPG/SON/SRSF10/SRSF2/SRSF5/STRAP/THRAP3/TIA1/WTAP/ZCRB1",39
"GO:0061013","GO:0061013","regulation of mRNA catabolic process","28/814","190/18903",1.21864942896388e-08,3.0187687283191e-06,2.27359056371106e-06,"AKT1/APEX1/CELF1/CNOT7/CSDE1/DHX36/EIF4A3/HNRNPA0/HNRNPAB/HNRNPC/HNRNPU/IGF2BP2/LARP1/NPM1/PABPC1/PABPC4/PAIP1/PCID2/PUM1/RBM8A/ROCK1/SERBP1/THRAP3/VIM/YBX1/YBX3/ZFP36L1/ZFP36L2",28
"GO:0062197","GO:0062197","cellular response to chemical stress","40/814","345/18903",1.2861656795701e-08,3.04119721141984e-06,2.29048261213393e-06,"AKT1/APEX1/ARL6IP5/ATP2A2/AXL/CAB39/CAT/CAV1/CTNNB1/DDX3X/DNAJA1/ERRFI1/FOS/FOXO1/HIF1A/JUN/MAPK1/MGST1/NET1/PARK7/PIK3CA/PLEC/PPIA/PRDX3/PYROXD1/RBX1/RHOB/RWDD1/SELENOS/SLC25A24/SOD2/SOD3/STAU1/STK24/SUMO4/TXN/UBQLN1/XRCC5/YBX3/ZFP36L1",40
"GO:0000375","GO:0000375","RNA splicing, via transesterification reactions","39/814","333/18903",1.47999639757457e-08,3.34736576529691e-06,2.52107395504464e-06,"CELF1/DDX17/DDX5/EIF4A3/HNRNPA2B1/HNRNPA3/HNRNPC/HNRNPF/HNRNPH3/HNRNPK/HNRNPL/HNRNPR/HNRNPU/HSPA8/LSM3/NCL/NPM1/PABPC1/PRDX6/PRPF40A/RBFOX2/RBM25/RBM39/RBM8A/RNPS1/RSRC1/SAP18/SF1/SF3B1/SNRPG/SON/SRSF10/SRSF2/SRSF5/STRAP/THRAP3/TIA1/WTAP/ZCRB1",39
"GO:1903312","GO:1903312","negative regulation of mRNA metabolic process","19/814","94/18903",1.54966630423485e-08,3.35890171442903e-06,2.52976227384303e-06,"CSDE1/HNRNPA0/HNRNPA2B1/HNRNPAB/HNRNPC/HNRNPK/HNRNPL/HNRNPU/IGF2BP2/LARP1/NPM1/PABPC1/PAIP1/RNPS1/SAP18/SRSF10/THRAP3/YBX1/YBX3",19
"GO:1903829","GO:1903829","positive regulation of protein localization","47/814","451/18903",2.09553078487079e-08,4.3560578410292e-06,3.28077202782547e-06,"ADAM9/AKT1/ANO1/ANP32B/ARF6/CD2AP/DTX3L/FLNA/GLUL/GOLPH3/HIF1A/HLA-DRB1/HSP90AA1/HSP90AB1/IRS2/ITGB1/KIF5B/LEPROT/LRRC8A/MSN/NEDD9/NPM1/ORMDL3/PARK7/PARP9/PPIA/PRKCI/PSMD9/RAN/RTN4/SERP1/SFN/SH3GLB1/SRI/STOM/TCP1/TM7SF3/TMED10/TOMM7/TRPM4/UBE2D3/UBE2L3/VPS35/WWTR1/YAP1/YWHAE/ZFAND1",47
"GO:0009615","GO:0009615","response to virus","44/814","409/18903",2.33654786683465e-08,4.3560578410292e-06,3.28077202782547e-06,"ARF1/BIRC3/BNIP3L/CHMP3/CLU/CNOT7/DDX17/DDX21/DDX3X/DDX60/DHX15/DHX36/DTX3L/EIF2AK2/G3BP1/HIF1A/HSP90AA1/IFI16/IFI44/IFI44L/IFI6/IFIT3/IFITM1/IFNGR1/IFNGR2/ILF3/ITGB6/JAK1/LSM14A/MST1R/NPC2/ODC1/PARP9/PCBP2/PHB2/PLSCR1/PPM1B/PUM1/RSAD2/SELENOK/SERINC3/STAT1/TPT1/URI1",44
"GO:0006605","GO:0006605","protein targeting","38/814","325/18903",2.37033511771259e-08,4.3560578410292e-06,3.28077202782547e-06,"ARL6IP1/ATG3/BNIP3L/CLU/GCC2/HERPUD1/HSP90AA1/HSPA5/HSPA8/LAMP2/LEPROT/LMAN1/NACA/NACA2/NCOA4/PRKCI/RAB7A/SDCBP/SEC61B/SEC62/SH3GLB1/SPCS1/SPCS2/SRP14/SRP72/STOM/SYNJ2BP/TOMM20/TOMM7/TRAM1/UBE2D3/UBE2L3/YWHAB/YWHAE/YWHAQ/ZDHHC20/ZDHHC7/ZFAND6",38
"GO:2001234","GO:2001234","negative regulation of apoptotic signaling pathway","31/814","233/18903",2.41294893860295e-08,4.3560578410292e-06,3.28077202782547e-06,"AKT1/CD44/CFLAR/CLU/CSNK2A1/CTNNB1/DDX3X/DNAJA1/GHITM/GNAI3/HERPUD1/HIF1A/HYOU1/IFI6/ITGA6/ITGAV/PARK7/PPIA/PTTG1IP/RB1/SELENOS/SLC25A5/SOD2/TAF9/TMBIM6/TPT1/URI1/VDAC2/XBP1/YAP1/YBX3",31
"GO:0032535","GO:0032535","regulation of cellular component size","41/814","367/18903",2.45093947986394e-08,4.3560578410292e-06,3.28077202782547e-06,"ADD3/ARF6/ARFGEF1/ARHGAP18/ARPC1A/ARPC1B/ARPC2/ARPC3/ARPC5/BAIAP2L2/CAPZA2/CHMP3/CYFIP1/EPS8/GOLGA4/GRB2/GSN/HP1BP3/HSP90AA1/HSP90AB1/LRRC8A/MACF1/MAP3K13/MSN/MTPN/NCK1/NCK2/NPM1/PICALM/PIK3CA/PTEN/RAB11A/RAC1/RHOA/RTN4/SEMA3C/SLC12A2/TMEM123/TMOD3/VASP/VEGFA",41
"GO:0043254","GO:0043254","regulation of protein-containing complex assembly","44/814","410/18903",2.51214408363852e-08,4.3560578410292e-06,3.28077202782547e-06,"ADD3/ARF6/ARFGEF1/ARHGAP18/ARPC1A/ARPC1B/ARPC2/ARPC3/ARPC5/BAIAP2L2/CAPZA2/CDC42/CDKN1B/CLU/CYFIP1/DDX3X/EIF2AK2/EPS8/GRB2/GSN/HES1/HMGB1/HSP90AA1/HSPA5/HSPA8/MAPRE1/MSN/MTPN/NCK1/NCK2/OCLN/PARK7/PSMC6/RAC1/RB1/RHOA/SH3GLB1/SMAD6/SOX9/TMOD3/VASP/VDAC2/VEGFA/VPS35",44
"GO:2000116","GO:2000116","regulation of cysteine-type endopeptidase activity","31/814","235/18903",2.95188006589443e-08,4.75444207959575e-06,3.58081576321969e-06,"AKT1/ANP32B/ARL6IP1/ARL6IP5/ASPH/BEX3/BIRC3/CD44/CFLAR/CSNK2A1/CYCS/DAP/DDX3X/DNAJB6/GSN/HMGB1/HSPE1/IFI16/IFI6/KLF4/NLRP2/PAK2/PARK7/PCID2/PDCD6/PERP/PRDX3/RHOA/SFN/VEGFA/XIAP",31
"GO:0006417","GO:0006417","regulation of translation","49/814","486/18903",3.00952827538768e-08,4.75444207959575e-06,3.58081576321969e-06,"AKT1/BZW1/CELF1/CNBP/CNOT7/CSDE1/CYFIP1/DDX3X/DHX36/EIF1/EIF2AK2/EIF3H/EIF4A3/EIF4B/EIF4E/EIF4G2/EIF4H/EIF5/EIF5B/ENC1/GSPT1/HNRNPL/HNRNPU/IGF2BP2/ILF3/LARP1/LSM14A/MTPN/NCK1/NCK2/NCL/NPM1/PABPC1/PAIP1/PUM1/RARA/RBM8A/RHOA/ROCK1/SERP1/SH3BGRL/TIA1/TMED2/VIM/YBX1/YBX3/ZFP36L1/ZFP36L2/ZNF706",49
"GO:0006402","GO:0006402","mRNA catabolic process","32/814","248/18903",3.01608205741368e-08,4.75444207959575e-06,3.58081576321969e-06,"AKT1/APEX1/CELF1/CNOT7/CSDE1/DDX5/DHX36/EIF4A3/GSPT1/HNRNPA0/HNRNPAB/HNRNPC/HNRNPU/IGF2BP2/LARP1/NPM1/PABPC1/PABPC4/PAIP1/PCID2/PUM1/RBM8A/RNPS1/ROCK1/SERBP1/SSB/THRAP3/VIM/YBX1/YBX3/ZFP36L1/ZFP36L2",32
"GO:0052547","GO:0052547","regulation of peptidase activity","47/814","459/18903",3.60603393582027e-08,5.51723192180502e-06,4.15531217000714e-06,"AKT1/ANP32B/APLP2/ARL6IP1/ARL6IP5/ASPH/BEX3/BIRC3/C4A/C4B/CAV1/CD44/CFLAR/CLPX/CSNK2A1/CYCS/DAP/DDX3X/DNAJB6/FBLN1/GSN/HMGB1/HSPE1/IFI16/IFI6/KLF4/LYN/NCSTN/NLRP2/PAK2/PARK7/PCID2/PDCD6/PERP/PICALM/PRDX3/PSME1/RARRES1/RHOA/ROCK1/SERPINB1/SFN/SPINT2/STAT3/TMED10/VEGFA/XIAP",47
"GO:0110053","GO:0110053","regulation of actin filament organization","34/814","278/18903",4.30551996525599e-08,6.3992328169319e-06,4.81959257464144e-06,"ACTG1/ADD3/ARAP1/ARF1/ARF6/ARFGEF1/ARHGAP18/ARPC1A/ARPC1B/ARPC2/ARPC3/ARPC5/BAIAP2L2/CAPZA2/CD47/CDC42/CYFIP1/EPS8/FLNA/GRB2/GSN/MTPN/NCK1/NCK2/PAK2/PIK3CA/RAC1/RHOA/ROCK1/TACSTD2/TJP1/TMOD3/VASP/WASF2",34
"GO:2000767","GO:2000767","positive regulation of cytoplasmic translation","8/814","15/18903",5.61830896416416e-08,8.0897284408763e-06,6.09279209553847e-06,"CNBP/CSDE1/DHX36/HNRNPU/PABPC1/PAIP1/YBX1/YBX3",8
"GO:0070849","GO:0070849","response to epidermal growth factor","13/814","47/18903",5.75393987528687e-08,8.0897284408763e-06,6.09279209553847e-06,"AKT1/CFLAR/EEF1A1/ERRFI1/FOS/FOXC1/IQGAP1/MAPK1/NCL/SOX9/SYAP1/ZFP36L1/ZFP36L2",13
"GO:2000736","GO:2000736","regulation of stem cell differentiation","17/814","82/18903",5.95047652143491e-08,8.14588917486958e-06,6.13508964342957e-06,"CDK12/DHX36/EIF2AK2/FOXC1/GATA6/HES1/HNRNPU/LTBP3/N4BP2L2/NUDT21/OCIAD1/RBBP4/SOX9/STAT3/TACSTD2/YAP1/ZFP36L2",17
"GO:0006413","GO:0006413","translational initiation","21/814","123/18903",6.20844495346126e-08,8.16792489280443e-06,6.15168588013074e-06,"BZW1/CSDE1/DDX3X/EIF1/EIF1AX/EIF2AK2/EIF3A/EIF3H/EIF4B/EIF4E/EIF4G2/EIF4H/EIF5/EIF5B/LARP1/NCK1/NCK2/NPM1/PAIP1/SH3BGRL/TMED2",21
"GO:0097581","GO:0097581","lamellipodium organization","18/814","92/18903",6.28060353156819e-08,8.16792489280443e-06,6.15168588013074e-06,"ACTR2/ACTR3/ARPC2/ARPC5/CD44/CDC42/CYFIP1/GOLPH3/HSP90AA1/ITGB1/NCK1/NCK2/OCLN/PIK3CA/RAC1/SNX1/SNX2/WASF2",18
"GO:0052548","GO:0052548","regulation of endopeptidase activity","44/814","428/18903",8.81821426579557e-08,1.1188378197724e-05,8.42654518544059e-06,"AKT1/ANP32B/APLP2/ARL6IP1/ARL6IP5/ASPH/BEX3/BIRC3/C4A/C4B/CD44/CFLAR/CSNK2A1/CYCS/DAP/DDX3X/DNAJB6/GSN/HMGB1/HSPE1/IFI16/IFI6/KLF4/LYN/NCSTN/NLRP2/PAK2/PARK7/PCID2/PDCD6/PERP/PICALM/PRDX3/PSME1/RARRES1/RHOA/ROCK1/SERPINB1/SFN/SPINT2/STAT3/TMED10/VEGFA/XIAP",44
"GO:0034976","GO:0034976","response to endoplasmic reticulum stress","32/814","261/18903",1.01205786873949e-07,1.25350596028162e-05,9.44080046979542e-06,"ATF6B/ATP2A2/CANX/CAV1/CCDC47/CEBPB/CLU/DDX3X/DNAJB9/EIF2AK2/ERP29/GORASP2/HERPUD1/HSPA5/HYOU1/JUN/MARCKS/NCK1/NCK2/PARK7/PDIA6/PSMC6/SEC61B/SELENOK/SELENOS/SERINC3/SERP1/TMBIM6/TMED2/UBQLN1/UBXN4/XBP1",32
"GO:0050792","GO:0050792","regulation of viral process","24/814","162/18903",1.20358611257228e-07,1.45605929246535e-05,1.096633417624e-05,"APCS/AXL/CNOT7/DDX3X/EIF2AK2/GSN/HEXIM1/HLA-DRB1/HMGB1/IFI16/IFITM1/ILF3/LARP1/PABPC1/PKN2/PLSCR1/PPIA/RAB7A/RSAD2/RSF1/STAT1/STAU1/STOM/TRIM14",24
"GO:0043488","GO:0043488","regulation of mRNA stability","25/814","175/18903",1.3597329748314e-07,1.60757521251657e-05,1.21074787854604e-05,"AKT1/APEX1/CELF1/CNOT7/CSDE1/DHX36/HNRNPA0/HNRNPC/HNRNPU/IGF2BP2/LARP1/NPM1/PABPC1/PABPC4/PAIP1/PCID2/PUM1/ROCK1/SERBP1/THRAP3/VIM/YBX1/YBX3/ZFP36L1/ZFP36L2",25
"GO:0032271","GO:0032271","regulation of protein polymerization","27/814","201/18903",1.57463156689452e-07,1.82027409133006e-05,1.37094238408922e-05,"ADD3/ARF6/ARFGEF1/ARHGAP18/ARPC1A/ARPC1B/ARPC2/ARPC3/ARPC5/BAIAP2L2/CAPZA2/CDKN1B/CYFIP1/EPS8/GRB2/GSN/HSP90AA1/MAPRE1/MTPN/NCK1/NCK2/OCLN/RAC1/RHOA/TMOD3/VASP/VDAC2",27
"GO:0019079","GO:0019079","viral genome replication","21/814","130/18903",1.65569894398742e-07,1.85613042927641e-05,1.39794764316696e-05,"CNOT7/DDX3X/EEF1A1/EIF2AK2/HSPA8/IFI16/IFITM1/ILF3/LARP1/NFIA/NUCKS1/PABPC1/PCBP1/PCBP2/PKN2/PLSCR1/PPIA/RSAD2/STAU1/STOM/VAPA",21
"GO:0071364","GO:0071364","cellular response to epidermal growth factor stimulus","12/814","43/18903",1.67701134517477e-07,1.85613042927641e-05,1.39794764316696e-05,"AKT1/CFLAR/EEF1A1/ERRFI1/FOS/FOXC1/IQGAP1/NCL/SOX9/SYAP1/ZFP36L1/ZFP36L2",12
"GO:0051384","GO:0051384","response to glucocorticoid","22/814","142/18903",1.80563937172765e-07,1.95686166910984e-05,1.47381353981805e-05,"ADAM9/ANXA3/AREG/CALM3/CFLAR/EIF4E/ERRFI1/FOS/HNRNPU/IGFBP7/IL1RN/MDK/NR3C1/PAM/PIK3CA/RHOA/SDC1/SSTR2/UBE2L3/USP8/ZFP36L1/ZFP36L2",22
"GO:0010592","GO:0010592","positive regulation of lamellipodium assembly","10/814","29/18903",1.9718516701401e-07,2.05151447761376e-05,1.54510145605505e-05,"ACTR2/ACTR3/ARPC2/CDC42/CYFIP1/HSP90AA1/OCLN/PIK3CA/RAC1/WASF2",10
"GO:2000765","GO:2000765","regulation of cytoplasmic translation","10/814","29/18903",1.9718516701401e-07,2.05151447761376e-05,1.54510145605505e-05,"CNBP/CSDE1/DHX36/HNRNPU/NCK1/PABPC1/PAIP1/SH3BGRL/YBX1/YBX3",10
"GO:0042060","GO:0042060","wound healing","44/814","442/18903",2.20466612303667e-07,2.21697848510728e-05,1.6697209416559e-05,"ACTG1/ANXA5/APCS/ARFGEF1/AXL/CAV1/CD44/CD9/CFLAR/CHMP1B/CHMP3/CHMP4C/CHMP5/DDR1/DSP/FBLN1/FLNA/FUNDC2/GNAS/HIF1A/IL6ST/ITGB1/ITGB6/JMJD1C/LMAN1/LYN/MACF1/MYL12A/OCLN/PABPC4/PIK3CA/PLEC/PLSCR1/PPIA/PPL/PTEN/REG3A/RHOA/SDC1/SLC12A2/TGFBR2/VEGFA/XBP1/YAP1",44
"GO:1903573","GO:1903573","negative regulation of response to endoplasmic reticulum stress","12/814","44/18903",2.21612612890386e-07,2.21697848510728e-05,1.6697209416559e-05,"ATF6B/CLU/DNAJB9/HERPUD1/HSPA5/HYOU1/NCK1/NCK2/PARK7/SELENOS/TMBIM6/XBP1",12
