"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000398","GO:0000398","mRNA splicing, via spliceosome","25/422","329/18903",1.10022617047062e-07,4.04568934698916e-05,3.06941351292013e-05,"CELF1/DDX17/HNRNPA2B1/HNRNPA3/HNRNPC/HNRNPF/HNRNPK/HNRNPR/HNRNPU/HSPA8/LSM3/LSM4/NPM1/PABPC1/PRDX6/RBFOX2/RBM8A/SAP18/SF3B1/SRSF2/SRSF5/STRAP/THRAP3/UBL5/ZCRB1",25
"GO:0044403","GO:0044403","biological process involved in symbiotic interaction","24/422","307/18903",1.17031447641619e-07,4.04568934698916e-05,3.06941351292013e-05,"APOE/APOL1/AXL/CD74/CDC42/CHMP1B/CHMP3/CHMP5/GSN/HLA-DRB1/HMGB1/HSP90AB1/HSPA8/IFITM1/IGF2R/ITGAV/ITGB1/JUN/NUCKS1/P4HB/PLSCR1/PPIA/RAB7A/ZDHHC20",24
"GO:0007015","GO:0007015","actin filament organization","30/422","454/18903",1.31374923952643e-07,4.04568934698916e-05,3.06941351292013e-05,"ACTR3/ADD3/ALDOA/ARAP1/ARF1/ARF6/ARPC1B/ARPC2/BAIAP2L2/CAPZA2/CD47/CDC42/ELN/EMP2/EZR/GRB2/GSN/MARCKS/MARCKSL1/PAK2/PDLIM1/PLS3/RAC1/RHOA/RHOB/RND3/ROCK1/TJP1/VASP/WASF2",30
"GO:0050792","GO:0050792","regulation of viral process","17/422","162/18903",1.37131917488301e-07,4.04568934698916e-05,3.06941351292013e-05,"AXL/CD74/EIF2AK2/GSN/HEXIM1/HLA-DRB1/HMGB1/IFI16/IFITM1/LARP1/P4HB/PABPC1/PLSCR1/PPIA/RAB7A/RSF1/STAT1",17
"GO:0000375","GO:0000375","RNA splicing, via transesterification reactions","25/422","333/18903",1.38703383871554e-07,4.04568934698916e-05,3.06941351292013e-05,"CELF1/DDX17/HNRNPA2B1/HNRNPA3/HNRNPC/HNRNPF/HNRNPK/HNRNPR/HNRNPU/HSPA8/LSM3/LSM4/NPM1/PABPC1/PRDX6/RBFOX2/RBM8A/SAP18/SF3B1/SRSF2/SRSF5/STRAP/THRAP3/UBL5/ZCRB1",25
"GO:0032970","GO:0032970","regulation of actin filament-based process","28/422","406/18903",1.45071782948961e-07,4.04568934698916e-05,3.06941351292013e-05,"ADD3/ARAP1/ARF1/ARF6/ARPC1B/ARPC2/ATP2A2/BAIAP2L2/CAPZA2/CD47/CDC42/DSC2/DSP/ELN/GRB2/GSN/IQGAP1/PAK2/PAM/RAC1/RHOA/RHOB/RND3/ROCK1/TJP1/TRPM4/VASP/WASF2",28
"GO:0001667","GO:0001667","ameboidal-type cell migration","31/422","492/18903",2.31645554147291e-07,5.90036958488219e-05,4.47653603174907e-05,"ADAM9/APOE/ARF6/CAP1/CDC42/DCN/EMP2/FSTL1/GLUL/HMGB1/IQGAP1/ITGB1/ITGB4/JUN/KLF4/MAP2K3/PDCD6/PDLIM1/PRSS3/PTEN/RAB11A/RAB25/RAC1/RHOA/RHOB/ROCK1/RTN4/SEMA3C/SP100/TGFBR2/WASF2",31
"GO:0019058","GO:0019058","viral life cycle","24/422","319/18903",2.38024770344867e-07,5.90036958488219e-05,4.47653603174907e-05,"APOE/AXL/CD74/CHMP1B/CHMP3/CHMP5/EIF2AK2/GSN/HLA-DRB1/HMGB1/HSP90AB1/HSPA8/IFI16/IFITM1/ITGAV/ITGB1/LARP1/NUCKS1/P4HB/PABPC1/PCBP1/PLSCR1/PPIA/RAB7A",24
"GO:0006401","GO:0006401","RNA catabolic process","23/422","299/18903",2.87202290535001e-07,6.74471905456408e-05,5.11713333163747e-05,"CELF1/CSDE1/GSPT1/HNRNPA0/HNRNPC/HNRNPU/IGF2BP2/LARP1/LSM4/NPM1/PABPC1/PABPC4/PUM1/RBM8A/ROCK1/SERBP1/SSB/THRAP3/VIM/YBX1/YBX3/ZFP36L1/ZFP36L2",23
"GO:0043484","GO:0043484","regulation of RNA splicing","17/422","180/18903",6.23319502078828e-07,0.000139062580913787,0.000105505027299237,"CELF1/DDX17/HNRNPA2B1/HNRNPF/HNRNPK/HNRNPU/HSPA8/NPM1/PRDX6/PTBP3/RBFOX2/RBM8A/SAP18/SRSF2/SRSF5/THRAP3/TMBIM6",17
"GO:0032535","GO:0032535","regulation of cellular component size","25/422","367/18903",8.57052649180577e-07,0.000174994609243016,0.000132766204280719,"ADD3/APOE/ARF6/ARPC1B/ARPC2/BAIAP2L2/CAPZA2/CHMP3/ELN/EZR/GRB2/GSN/HP1BP3/HSP90AB1/MAP3K13/NPM1/PICALM/PTEN/RAB11A/RAC1/RHOA/RTN4/SEMA3C/TMEM123/VASP",25
"GO:0001701","GO:0001701","in utero embryonic development","26/422","393/18903",8.97984698418027e-07,0.000174994609243016,0.000132766204280719,"CEBPB/CTNNB1/ELF3/GATA6/GRB2/HES1/ITGB1/JUNB/KLF4/KRT19/MAPK1/RPL7L1/RRP7A/RTN4/SBDS/SH3PXD2A/SKIL/SOCS3/TBL1XR1/TGFBR2/TMED2/UBE2B/YAP1/YBX1/YBX3/ZFP36L1",26
"GO:0048255","GO:0048255","mRNA stabilization","10/422","61/18903",9.02034068262971e-07,0.000174994609243016,0.000132766204280719,"CSDE1/HNRNPA0/HNRNPC/HNRNPU/IGF2BP2/LARP1/PABPC1/THRAP3/YBX1/YBX3",10
"GO:0048024","GO:0048024","regulation of mRNA splicing, via spliceosome","13/422","109/18903",9.54177990344635e-07,0.000177397591371573,0.000134589316532822,"CELF1/DDX17/HNRNPA2B1/HNRNPK/HNRNPU/HSPA8/NPM1/PRDX6/RBFOX2/RBM8A/SAP18/SRSF2/THRAP3",13
"GO:2001233","GO:2001233","regulation of apoptotic signaling pathway","25/422","374/18903",1.21001468754076e-06,0.000215963421432274,0.000163848725689729,"CD74/CSNK2A1/CTNNB1/CTSC/GHITM/GSTP1/HERPUD1/HNRNPK/IFI6/ITGA6/ITGAV/MUC1/NDUFA13/P4HB/PAK2/PARK7/PPIA/PTEN/SKIL/SLC25A5/SP100/TMBIM6/TRAF7/YAP1/YBX3",25
"GO:0048524","GO:0048524","positive regulation of viral process","10/422","64/18903",1.42743789188777e-06,0.000244970302830893,0.000185855880984253,"AXL/CD74/HLA-DRB1/HMGB1/LARP1/P4HB/PABPC1/PPIA/RAB7A/RSF1",10
"GO:0140694","GO:0140694","non-membrane-bounded organelle assembly","25/422","386/18903",2.1389188398684e-06,0.000353476143092326,0.000268177894308646,"CHMP1B/CHMP3/CHMP5/CSDE1/EZR/G3BP1/GSN/HNRNPU/ITGB1/KPNB1/KRT19/LSM14A/LSM3/LSM4/NPM1/NUP62/PRKAR1A/RAB11A/RHOA/RPL10L/RRP7A/SBDS/TRAF7/XRCC5/ZNF207",25
"GO:0070934","GO:0070934","CRD-mediated mRNA stabilization","5/422","11/18903",2.23949969828515e-06,0.000356880273348154,0.000270760565025753,"CSDE1/HNRNPU/IGF2BP2/PABPC1/YBX1",5
"GO:0032956","GO:0032956","regulation of actin cytoskeleton organization","24/422","365/18903",2.63630373098656e-06,0.000405627146471104,0.000307744203225146,"ADD3/ARAP1/ARF1/ARF6/ARPC1B/ARPC2/BAIAP2L2/CAPZA2/CD47/CDC42/ELN/GRB2/GSN/IQGAP1/PAK2/PAM/RAC1/RHOA/RHOB/RND3/ROCK1/TJP1/VASP/WASF2",24
"GO:0010631","GO:0010631","epithelial cell migration","24/422","366/18903",2.7640998634419e-06,0.000411113786355925,0.000311906847748391,"ADAM9/APOE/ARF6/DCN/EMP2/FSTL1/GLUL/HMGB1/ITGB1/JUN/KLF4/MAP2K3/PDCD6/PRSS3/PTEN/RAB11A/RAB25/RAC1/RHOA/RHOB/ROCK1/RTN4/SP100/TGFBR2",24
"GO:0051017","GO:0051017","actin filament bundle assembly","15/422","160/18903",3.12459468185411e-06,0.000435476738791998,0.000330390712674294,"ARAP1/BAIAP2L2/CD47/CDC42/ELN/EZR/MARCKS/PAK2/PDLIM1/PLS3/RAC1/RHOA/ROCK1/TJP1/WASF2",15
"GO:0090132","GO:0090132","epithelium migration","24/422","369/18903",3.18223918976352e-06,0.000435476738791998,0.000330390712674294,"ADAM9/APOE/ARF6/DCN/EMP2/FSTL1/GLUL/HMGB1/ITGB1/JUN/KLF4/MAP2K3/PDCD6/PRSS3/PTEN/RAB11A/RAB25/RAC1/RHOA/RHOB/ROCK1/RTN4/SP100/TGFBR2",24
"GO:0043489","GO:0043489","RNA stabilization","10/422","70/18903",3.31828980702105e-06,0.000435476738791998,0.000330390712674294,"CSDE1/HNRNPA0/HNRNPC/HNRNPU/IGF2BP2/LARP1/PABPC1/THRAP3/YBX1/YBX3",10
"GO:1902373","GO:1902373","negative regulation of mRNA catabolic process","10/422","70/18903",3.31828980702105e-06,0.000435476738791998,0.000330390712674294,"CSDE1/HNRNPA0/HNRNPC/HNRNPU/IGF2BP2/LARP1/PABPC1/THRAP3/YBX1/YBX3",10
"GO:0090130","GO:0090130","tissue migration","24/422","374/18903",4.00934143558646e-06,0.000511133756731052,0.000387790738551762,"ADAM9/APOE/ARF6/DCN/EMP2/FSTL1/GLUL/HMGB1/ITGB1/JUN/KLF4/MAP2K3/PDCD6/PRSS3/PTEN/RAB11A/RAB25/RAC1/RHOA/RHOB/ROCK1/RTN4/SP100/TGFBR2",24
"GO:0061572","GO:0061572","actin filament bundle organization","15/422","164/18903",4.24466352290068e-06,0.000526102462199523,0.000399147306714871,"ARAP1/BAIAP2L2/CD47/CDC42/ELN/EZR/MARCKS/PAK2/PDLIM1/PLS3/RAC1/RHOA/ROCK1/TJP1/WASF2",15
"GO:0031331","GO:0031331","positive regulation of cellular catabolic process","26/422","429/18903",4.50715798208942e-06,0.000539519557480443,0.000409326687786243,"ADAM9/APOE/CELF1/CSDE1/DCN/HERPUD1/HMGB1/HNRNPU/LARP1/MTDH/ORMDL3/PABPC1/PARK7/PTEN/PUM1/RBX1/ROCK1/SH3GLB1/SLC25A5/SUMO2/TMEM59/WAC/YBX1/ZBTB20/ZFP36L1/ZFP36L2",26
"GO:0110053","GO:0110053","regulation of actin filament organization","20/422","278/18903",4.77166970491598e-06,0.000539519557480443,0.000409326687786243,"ADD3/ARAP1/ARF1/ARF6/ARPC1B/ARPC2/BAIAP2L2/CAPZA2/CD47/CDC42/ELN/GRB2/GSN/PAK2/RAC1/RHOA/ROCK1/TJP1/VASP/WASF2",20
"GO:0150105","GO:0150105","protein localization to cell-cell junction","6/422","21/18903",4.87823324705746e-06,0.000539519557480443,0.000409326687786243,"DSP/JAK1/PAK2/PECAM1/TJP1/TJP2",6
"GO:1900118","GO:1900118","negative regulation of execution phase of apoptosis","6/422","21/18903",4.87823324705746e-06,0.000539519557480443,0.000409326687786243,"MTRNR2L1/MTRNR2L10/MTRNR2L12/MTRNR2L3/MTRNR2L8/PAK2",6
"GO:0021762","GO:0021762","substantia nigra development","8/422","44/18903",5.05932747384547e-06,0.000539519557480443,0.000409326687786243,"CALM2/CALM3/CDC42/CNP/DYNLL1/RHOA/YWHAE/YWHAQ",8
"GO:0006417","GO:0006417","regulation of translation","28/422","486/18903",5.07840013764649e-06,0.000539519557480443,0.000409326687786243,"CELF1/CSDE1/EEF2/EIF1/EIF2AK2/EIF3H/EIF4G2/EIF5/EIF5B/GSPT1/HNRNPU/IGF2BP2/KRT17/LARP1/LSM14A/NPM1/PABPC1/PUM1/RBM8A/RHOA/ROCK1/SERP1/TMED2/VIM/YBX1/YBX3/ZFP36L1/ZFP36L2",28
"GO:0009615","GO:0009615","response to virus","25/422","409/18903",5.93887718565104e-06,0.000609306586504063,0.000462273227062933,"ARF1/CHMP3/DDX17/DDX21/DDX60/EIF2AK2/G3BP1/HTRA1/IFI16/IFI44L/IFI6/IFITM1/IFNGR1/JAK1/LSM14A/MST1R/NPC2/PARP9/PHB2/PLSCR1/PPM1B/PUM1/SELENOK/SPON2/STAT1",25
"GO:2000116","GO:2000116","regulation of cysteine-type endopeptidase activity","18/422","235/18903",6.00840201841747e-06,0.000609306586504063,0.000462273227062933,"ARL6IP1/ASPH/BEX3/CSNK2A1/GSN/HMGB1/IFI16/IFI6/KLF4/NDUFA13/NLRP2/PAK2/PARK7/PDCD6/PERP/RHOA/SFN/XIAP",18
"GO:0048545","GO:0048545","response to steroid hormone","22/422","339/18903",8.47631580413265e-06,0.000840473802623108,0.00063765688014247,"ADAM9/AREG/ARID1A/CALM3/DDX17/FOS/HNRNPU/HSPA8/IGFBP7/NCOR2/NR3C1/PAM/PARK7/PHB2/RBFOX2/RHOA/RWDD1/SDC1/TGFBR2/YAP1/ZFP36L1/ZFP36L2",22
"GO:0010632","GO:0010632","regulation of epithelial cell migration","20/422","292/18903",9.9126623884664e-06,0.000961528251681241,0.000729499364789656,"ADAM9/APOE/ARF6/DCN/EMP2/GLUL/HMGB1/JUN/KLF4/MAP2K3/PDCD6/PTEN/RAB11A/RAB25/RAC1/RHOA/RHOB/RTN4/SP100/TGFBR2",20
"GO:1903829","GO:1903829","positive regulation of protein localization","26/422","451/18903",1.09514332128589e-05,0.00103968712756971,0.000788797518758214,"ADAM9/ARF6/EZR/GLUL/HLA-DRB1/HSP90AB1/ITGB1/KIF5B/NPM1/NUP62/ORMDL3/PARK7/PARP9/PECAM1/PPIA/RTN4/SERP1/SFN/SH3GLB1/TM7SF3/TRPM4/UBE2D3/UBL5/VPS35/YAP1/YWHAE",26
"GO:1902410","GO:1902410","mitotic cytokinetic process","6/422","24/18903",1.14316889954489e-05,0.00106267075620194,0.000806234908100079,"ARF1/CHMP1B/CHMP3/CHMP5/NUP62/RHOA",6
"GO:0031330","GO:0031330","negative regulation of cellular catabolic process","18/422","247/18903",1.19229175465671e-05,0.00108496303413915,0.000823147778383901,"CSDE1/CSNK2A1/EIF3H/EIF4G2/HNRNPA0/HNRNPC/HNRNPU/HSP90AB1/IGF2BP2/LARP1/PABPC1/PARK7/ROCK1/STAT3/THRAP3/WAC/YBX1/YBX3",18
"GO:0034655","GO:0034655","nucleobase-containing compound catabolic process","25/422","428/18903",1.29531910875593e-05,0.00108496303413915,0.000823147778383901,"CELF1/CNP/CSDE1/GSPT1/HINT1/HNRNPA0/HNRNPC/HNRNPU/IGF2BP2/LARP1/LSM4/NPM1/PABPC1/PABPC4/PUM1/RBM8A/ROCK1/SERBP1/SSB/THRAP3/VIM/YBX1/YBX3/ZFP36L1/ZFP36L2",25
"GO:0035065","GO:0035065","regulation of histone acetylation","9/422","65/18903",1.33745261951019e-05,0.00108496303413915,0.000823147778383901,"DDX21/EID1/GLYR1/KMT2E/MUC1/PARK7/SET/SETD5/SF3B1",9
"GO:0048857","GO:0048857","neural nucleus development","9/422","65/18903",1.33745261951019e-05,0.00108496303413915,0.000823147778383901,"CALM2/CALM3/CDC42/CNP/DYNLL1/NFIB/RHOA/YWHAE/YWHAQ",9
"GO:0045785","GO:0045785","positive regulation of cell adhesion","27/422","484/18903",1.34021751348094e-05,0.00108496303413915,0.000823147778383901,"ADAM9/ARID1A/ARPC2/CD24/CD47/CD74/CDC42/EMP2/HES1/HLA-DRA/HLA-DRB1/HLA-DRB5/HMGB1/IL6ST/ITGAV/JAK1/LIMS1/P4HB/PLEKHA2/RAC1/RHOA/ROCK1/RUNX1/SELENOK/TGFBR2/TGM2/TJP1",27
"GO:0097212","GO:0097212","lysosomal membrane organization","5/422","15/18903",1.35190070805834e-05,0.00108496303413915,0.000823147778383901,"ATP10B/CHMP1B/CHMP3/CHMP5/LAPTM4B",5
"GO:2000767","GO:2000767","positive regulation of cytoplasmic translation","5/422","15/18903",1.35190070805834e-05,0.00108496303413915,0.000823147778383901,"CSDE1/HNRNPU/PABPC1/YBX1/YBX3",5
"GO:0051701","GO:0051701","biological process involved in interaction with host","16/422","203/18903",1.37808399974326e-05,0.00108496303413915,0.000823147778383901,"AXL/CD74/CHMP1B/CHMP3/CHMP5/GSN/HLA-DRB1/HMGB1/HSP90AB1/IFITM1/ITGAV/ITGB1/P4HB/PLSCR1/PPIA/RAB7A",16
"GO:0006446","GO:0006446","regulation of translational initiation","10/422","82/18903",1.41030605065152e-05,0.00108496303413915,0.000823147778383901,"CSDE1/EIF1/EIF2AK2/EIF3H/EIF4G2/EIF5/EIF5B/LARP1/NPM1/TMED2",10
"GO:1902369","GO:1902369","negative regulation of RNA catabolic process","10/422","82/18903",1.41030605065152e-05,0.00108496303413915,0.000823147778383901,"CSDE1/HNRNPA0/HNRNPC/HNRNPU/IGF2BP2/LARP1/PABPC1/THRAP3/YBX1/YBX3",10
"GO:0052547","GO:0052547","regulation of peptidase activity","26/422","459/18903",1.48756285945505e-05,0.00112500092862516,0.000853524024265376,"ARL6IP1/ASPH/BEX3/CSNK2A1/FBLN1/GSN/HMGB1/IFI16/IFI6/KLF4/NDUFA13/NLRP2/PAK2/PARK7/PCOLCE/PDCD6/PERP/PICALM/PSME1/RARRES1/RHOA/ROCK1/SERPINB1/SFN/STAT3/XIAP",26
"GO:0034341","GO:0034341","response to interferon-gamma","13/422","140/18903",1.56833027335075e-05,0.00116631494661517,0.000884868448964211,"ACTR3/CD47/CD74/CDC42/GSN/IFITM1/IFNGR1/JAK1/KIF5B/PARP9/SP100/STAT1/VIM",13
"GO:0044000","GO:0044000","movement in host","15/422","183/18903",1.60492512472678e-05,0.00117396326336572,0.000890671130478226,"AXL/CD74/CHMP1B/CHMP3/CHMP5/GSN/HLA-DRB1/HMGB1/IFITM1/ITGAV/ITGB1/P4HB/PLSCR1/PPIA/RAB7A",15
"GO:0051101","GO:0051101","regulation of DNA binding","12/422","121/18903",1.71057291860912e-05,0.00123106070368289,0.0009339902387516,"CALM2/CALM3/CTNNB1/HES1/HMGB1/IFI16/JUN/KLF4/NFKBIA/PARK7/RSF1/SP100",12
"GO:0051607","GO:0051607","defense response to virus","20/422","304/18903",1.78359510653644e-05,0.0012632383119628,0.000958402984564946,"CHMP3/DDX17/DDX21/DDX60/EIF2AK2/G3BP1/HTRA1/IFI16/IFI44L/IFI6/IFITM1/LSM14A/PARP9/PHB2/PLSCR1/PPM1B/PUM1/SELENOK/SPON2/STAT1",20
"GO:1903900","GO:1903900","regulation of viral life cycle","13/422","142/18903",1.82673893541149e-05,0.0012728972264663,0.000965731081251181,"AXL/CD74/EIF2AK2/GSN/HLA-DRB1/HMGB1/IFI16/IFITM1/LARP1/P4HB/PABPC1/PLSCR1/PPIA",13
"GO:0140546","GO:0140546","defense response to symbiont","20/422","305/18903",1.87020230912072e-05,0.0012728972264663,0.000965731081251181,"CHMP3/DDX17/DDX21/DDX60/EIF2AK2/G3BP1/HTRA1/IFI16/IFI44L/IFI6/IFITM1/LSM14A/PARP9/PHB2/PLSCR1/PPM1B/PUM1/SELENOK/SPON2/STAT1",20
"GO:1900151","GO:1900151","regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","6/422","26/18903",1.88281526102143e-05,0.0012728972264663,0.000965731081251181,"CSDE1/HNRNPU/PABPC1/YBX1/ZFP36L1/ZFP36L2",6
"GO:1902903","GO:1902903","regulation of supramolecular fiber organization","23/422","384/18903",1.93517090417946e-05,0.00128876605588788,0.000977770562111729,"ADD3/APOE/ARAP1/ARF1/ARF6/ARPC1B/ARPC2/BAIAP2L2/CAPZA2/CD47/CDC42/ELN/GRB2/GSN/HSPA8/PAK2/PARK7/RAC1/RHOA/ROCK1/TJP1/VASP/WASF2",23
"GO:0006413","GO:0006413","translational initiation","12/422","123/18903",2.0197322588374e-05,0.00131493790076407,0.000997626810931429,"CSDE1/EIF1/EIF1AX/EIF2AK2/EIF3A/EIF3H/EIF4G2/EIF5/EIF5B/LARP1/NPM1/TMED2",12
"GO:2001234","GO:2001234","negative regulation of apoptotic signaling pathway","17/422","233/18903",2.04542269706293e-05,0.00131493790076407,0.000997626810931429,"CD74/CSNK2A1/CTNNB1/GHITM/GSTP1/HERPUD1/IFI6/ITGA6/ITGAV/MUC1/NDUFA13/PARK7/PPIA/SLC25A5/TMBIM6/YAP1/YBX3",17
"GO:0045936","GO:0045936","negative regulation of phosphate metabolic process","25/422","440/18903",2.0628788223551e-05,0.00131493790076407,0.000997626810931429,"APOE/ARPP19/CALM2/CALM3/DUSP1/DYNLL1/FBLN1/GSTP1/HEXIM1/HNRNPU/IQGAP1/JUN/NPM1/NUP62/PAK2/PARK7/PPIA/PRKAR1A/PTEN/ROCK1/SFN/SOCS3/STAT3/TMED2/YWHAE",25
"GO:0010563","GO:0010563","negative regulation of phosphorus metabolic process","25/422","441/18903",2.14251338293394e-05,0.00134646404431707,0.00102154529866798,"APOE/ARPP19/CALM2/CALM3/DUSP1/DYNLL1/FBLN1/GSTP1/HEXIM1/HNRNPU/IQGAP1/JUN/NPM1/NUP62/PAK2/PARK7/PPIA/PRKAR1A/PTEN/ROCK1/SFN/SOCS3/STAT3/TMED2/YWHAE",25
"GO:0034250","GO:0034250","positive regulation of cellular amide metabolic process","14/422","170/18903",2.90784257142241e-05,0.00178369669314302,0.00135326819815234,"CSDE1/EEF2/HNRNPU/IFNGR1/KRT17/LARP1/NPM1/PABPC1/PICALM/RHOA/SERP1/VIM/YBX1/YBX3",14
"GO:0050000","GO:0050000","chromosome localization","10/422","89/18903",2.91819494844107e-05,0.00178369669314302,0.00135326819815234,"ACTR3/CHMP1B/CHMP3/CHMP5/HNRNPU/KPNB1/NUDC/NUP62/RAB11A/UBE2B",10
"GO:0033119","GO:0033119","negative regulation of RNA splicing","6/422","28/18903",2.96666095442792e-05,0.00178881637549424,0.00135715243662023,"HNRNPA2B1/HNRNPK/NPM1/PTBP3/SAP18/TMBIM6",6
"GO:0010952","GO:0010952","positive regulation of peptidase activity","15/422","194/18903",3.19142087637422e-05,0.00188370323481567,0.00142914190076841,"ASPH/BEX3/FBLN1/GSN/HMGB1/IFI16/NDUFA13/NLRP2/PCOLCE/PDCD6/PERP/PICALM/PSME1/RHOA/STAT3",15
"GO:0030038","GO:0030038","contractile actin filament bundle assembly","11/422","109/18903",3.25067568536098e-05,0.00188370323481567,0.00142914190076841,"ARAP1/CD47/CDC42/ELN/PAK2/PDLIM1/RAC1/RHOA/ROCK1/TJP1/WASF2",11
"GO:0043149","GO:0043149","stress fiber assembly","11/422","109/18903",3.25067568536098e-05,0.00188370323481567,0.00142914190076841,"ARAP1/CD47/CDC42/ELN/PAK2/PDLIM1/RAC1/RHOA/ROCK1/TJP1/WASF2",11
"GO:0030901","GO:0030901","midbrain development","10/422","91/18903",3.54510745917611e-05,0.00200447745808916,0.00152077178164494,"CALM2/CALM3/CDC42/CNP/CTNNB1/DYNLL1/HES1/RHOA/YWHAE/YWHAQ",10
"GO:0045862","GO:0045862","positive regulation of proteolysis","22/422","372/18903",3.54894036730264e-05,0.00200447745808916,0.00152077178164494,"ADAM9/APOE/ASPH/BEX3/CTSC/FBLN1/GSN/HERPUD1/HMGB1/IFI16/NDUFA13/NLRP2/PCOLCE/PDCD6/PERP/PICALM/PSME1/PTEN/RBX1/RHOA/STAT3/SUMO2",22
"GO:0007080","GO:0007080","mitotic metaphase plate congression","8/422","57/18903",3.66147305118836e-05,0.00202198377029765,0.00153405360005597,"CHMP1B/CHMP3/CHMP5/HNRNPU/KPNB1/NUDC/NUP62/RAB11A",8
