"","x"
"324","Inhibitory"
"325","Inhibitory"
"326","Excitatory"
"327","Inhibitory"
"328","Inhibitory"
"329","Inhibitory"
"330","Excitatory"
"331","Inhibitory"
"332","Excitatory"
"333","OD Immature"
"334","Inhibitory"
"335","Inhibitory"
"336","Inhibitory"
"337","Inhibitory"
"338","Inhibitory"
"339","Excitatory"
"340","Inhibitory"
"341","Inhibitory"
"342","OD Mature"
"343","Endothelial"
"344","Inhibitory"
"345","Inhibitory"
"346","Inhibitory"
"347","Inhibitory"
"348","OD Immature"
"349","OD Mature"
"350","Inhibitory"
"351","Endothelial"
"352","OD Mature"
"353","OD Mature"
"354","Inhibitory"
"355","Inhibitory"
"356","OD Mature"
"357","Inhibitory"
"358","Inhibitory"
"359","Inhibitory"
"360","Inhibitory"
"361","OD Mature"
"362","Inhibitory"
"363","Inhibitory"
"364","Excitatory"
"365","Inhibitory"
"366","Inhibitory"
"367","Excitatory"
"368","Astrocyte"
"369","Inhibitory"
"370","OD Mature"
"371","Endothelial"
"372","Inhibitory"
"373","OD Mature"
"374","OD Immature"
"375","Inhibitory"
"376","OD Mature"
"377","Inhibitory"
"378","Inhibitory"
"379","Inhibitory"
"380","Inhibitory"
"381","Inhibitory"
"382","Inhibitory"
"383","Excitatory"
"384","Inhibitory"
"385","Endothelial"
"386","Inhibitory"
"387","Inhibitory"
"388","Inhibitory"
"389","Inhibitory"
"390","Inhibitory"
"391","Inhibitory"
"392","Inhibitory"
"393","Inhibitory"
"394","Inhibitory"
"395","OD Mature"
"396","OD Mature"
"397","OD Immature"
"398","Inhibitory"
"399","Inhibitory"
"400","Inhibitory"
"401","Inhibitory"
"402","OD Mature"
"403","OD Mature"
"404","Excitatory"
"405","Excitatory"
"406","OD Mature"
"407","OD Mature"
"408","Inhibitory"
"409","OD Mature"
"410","Inhibitory"
"411","OD Mature"
"412","OD Mature"
"413","OD Mature"
"414","OD Mature"
"415","Inhibitory"
"416","OD Mature"
"417","OD Mature"
"418","Inhibitory"
"419","Excitatory"
"420","Inhibitory"
"421","Inhibitory"
"422","Inhibitory"
"423","Inhibitory"
"424","Microglia"
"425","Inhibitory"
"426","Inhibitory"
"427","Inhibitory"
"428","Inhibitory"
"429","Astrocyte"
"430","Inhibitory"
"431","Inhibitory"
"432","Endothelial"
"433","OD Mature"
"434","Mural"
"435","Inhibitory"
"436","OD Mature"
"437","OD Immature"
"438","OD Immature"
"439","Inhibitory"
"440","Inhibitory"
"441","Inhibitory"
"442","Excitatory"
"443","Inhibitory"
"444","Inhibitory"
"445","Inhibitory"
"446","Inhibitory"
"447","OD Mature"
"448","Excitatory"
"449","Inhibitory"
"450","OD Immature"
"451","Astrocyte"
"452","Inhibitory"
"453","Inhibitory"
"454","Mural"
"455","Astrocyte"
"456","OD Mature"
"457","OD Immature"
"458","Excitatory"
"459","OD Mature"
"460","Inhibitory"
"461","Inhibitory"
"462","OD Mature"
"463","OD Mature"
"464","Inhibitory"
"465","Inhibitory"
"466","Excitatory"
"467","OD Immature"
"468","Inhibitory"
"469","Mural"
"470","Inhibitory"
"471","Inhibitory"
"472","Inhibitory"
"473","Inhibitory"
"474","Inhibitory"
"475","OD Mature"
"476","Inhibitory"
"477","Inhibitory"
"478","Inhibitory"
"479","OD Mature"
"480","OD Mature"
"481","Inhibitory"
"482","OD Mature"
"483","Inhibitory"
"484","Inhibitory"
"485","OD Mature"
"486","OD Mature"
"487","OD Mature"
"488","OD Mature"
"489","Inhibitory"
"490","OD Mature"
"491","Astrocyte"
"492","Inhibitory"
"493","Inhibitory"
"494","Microglia"
"495","Inhibitory"
"496","Excitatory"
"497","OD Immature"
"498","OD Mature"
"499","Inhibitory"
"500","Inhibitory"
"501","OD Mature"
"502","Inhibitory"
"503","Mural"
"504","Inhibitory"
"505","Mural"
"506","Inhibitory"
"507","Inhibitory"
"508","Inhibitory"
"509","Excitatory"
"510","Inhibitory"
"511","Inhibitory"
"512","Inhibitory"
"513","Inhibitory"
"514","Inhibitory"
"515","OD Mature"
"516","OD Mature"
"517","OD Mature"
"518","Excitatory"
"519","Microglia"
"520","Microglia"
"521","OD Mature"
"522","Excitatory"
"523","Inhibitory"
"524","Inhibitory"
"525","Inhibitory"
"526","Inhibitory"
"527","OD Immature"
"528","Inhibitory"
"529","Inhibitory"
"530","Inhibitory"
"531","Inhibitory"
"532","Inhibitory"
"533","Inhibitory"
"534","Microglia"
"535","Inhibitory"
"536","Inhibitory"
"537","Inhibitory"
"538","Inhibitory"
"539","OD Mature"
"540","Inhibitory"
"541","OD Mature"
"542","Inhibitory"
"543","Inhibitory"
"544","Mural"
"545","Inhibitory"
"546","OD Immature"
"547","Excitatory"
"548","Inhibitory"
"549","OD Mature"
"550","Microglia"
"551","OD Mature"
"552","Inhibitory"
"553","Excitatory"
"554","Inhibitory"
"555","Inhibitory"
"556","OD Mature"
"557","Inhibitory"
"558","Inhibitory"
"559","Excitatory"
"560","OD Mature"
"561","Inhibitory"
"562","Inhibitory"
"563","OD Mature"
"564","Inhibitory"
"565","Inhibitory"
"566","Inhibitory"
"567","OD Mature"
"568","Inhibitory"
"569","Excitatory"
"570","Inhibitory"
"571","OD Immature"
"572","OD Mature"
"573","Inhibitory"
"574","OD Immature"
"575","OD Mature"
"576","OD Mature"
"577","Inhibitory"
"578","Inhibitory"
"579","Excitatory"
"580","Inhibitory"
"581","Microglia"
"582","Microglia"
"583","Excitatory"
"584","Inhibitory"
"585","Inhibitory"
"586","OD Immature"
"587","Inhibitory"
"588","OD Immature"
"589","Inhibitory"
"590","Inhibitory"
"591","Inhibitory"
"592","Excitatory"
"593","Inhibitory"
"594","Excitatory"
"595","Inhibitory"
"596","Inhibitory"
"597","Inhibitory"
"598","OD Mature"
"599","OD Immature"
"600","Mural"
"601","OD Immature"
"602","Endothelial"
"603","OD Mature"
"604","Inhibitory"
"605","Excitatory"
"606","Inhibitory"
"607","Inhibitory"
"608","Inhibitory"
"609","Endothelial"
"610","OD Immature"
"611","Inhibitory"
"612","Inhibitory"
"613","Inhibitory"
"614","Excitatory"
"615","Inhibitory"
"616","OD Mature"
"617","Excitatory"
"618","Inhibitory"
"619","Inhibitory"
"620","Inhibitory"
"621","OD Immature"
"622","Inhibitory"
"623","Inhibitory"
"624","Inhibitory"
"625","Inhibitory"
"626","Excitatory"
"627","Inhibitory"
"628","Inhibitory"
"629","Excitatory"
"630","Inhibitory"
"631","Endothelial"
"632","OD Mature"
"633","Inhibitory"
"634","Inhibitory"
"635","OD Mature"
"636","Inhibitory"
"637","OD Mature"
"638","Inhibitory"
"639","Inhibitory"
"640","Inhibitory"
"641","Inhibitory"
"642","Mural"
"643","Inhibitory"
"644","Inhibitory"
"645","Inhibitory"
"646","Inhibitory"
"647","Inhibitory"
"648","Inhibitory"
"649","Inhibitory"
"650","Inhibitory"
"651","Inhibitory"
"652","Inhibitory"
"653","Inhibitory"
"654","Inhibitory"
"655","OD Immature"
"656","Inhibitory"
"657","Excitatory"
"658","OD Mature"
"659","Inhibitory"
"660","Inhibitory"
"661","Inhibitory"
"662","Inhibitory"
"663","OD Mature"
"664","Inhibitory"
"665","OD Mature"
"666","Inhibitory"
"667","Inhibitory"
"668","Microglia"
"669","Excitatory"
"670","OD Mature"
"671","Mural"
"672","Inhibitory"
"673","Inhibitory"
"674","Inhibitory"
"675","OD Mature"
"676","Inhibitory"
"677","Inhibitory"
"678","OD Mature"
"679","Microglia"
"680","OD Immature"
"681","OD Mature"
"682","OD Mature"
"683","Inhibitory"
"684","Microglia"
"685","Mural"
"686","Inhibitory"
"687","Inhibitory"
"688","OD Immature"
"689","Inhibitory"
"690","OD Mature"
"691","Inhibitory"
"692","Inhibitory"
"693","Inhibitory"
"694","Inhibitory"
"695","Inhibitory"
"696","Inhibitory"
"697","Inhibitory"
"698","OD Mature"
"699","Astrocyte"
"700","OD Immature"
"701","OD Mature"
"702","OD Mature"
"703","OD Mature"
"704","Mural"
"705","Inhibitory"
"706","Inhibitory"
"707","OD Mature"
"708","OD Mature"
"709","OD Mature"
"710","Inhibitory"
"711","Excitatory"
"712","Astrocyte"
"713","Endothelial"
"714","OD Immature"
"715","OD Mature"
"716","Inhibitory"
"717","Excitatory"
"718","Inhibitory"
"719","OD Mature"
"720","Inhibitory"
"721","OD Mature"
"722","Inhibitory"
"723","Inhibitory"
"724","Inhibitory"
"725","Inhibitory"
"726","Inhibitory"
"727","Excitatory"
"728","Inhibitory"
"729","OD Mature"
"730","OD Immature"
"731","Inhibitory"
"732","Excitatory"
"733","Mural"
"734","Inhibitory"
"735","OD Mature"
"736","Inhibitory"
"737","Inhibitory"
"738","OD Mature"
"739","OD Mature"
"740","OD Mature"
"741","Inhibitory"
"742","OD Mature"
"743","Inhibitory"
"744","Inhibitory"
"745","OD Mature"
"746","OD Mature"
"747","Inhibitory"
"748","Inhibitory"
"749","Excitatory"
"750","Inhibitory"
"751","Inhibitory"
"752","Inhibitory"
"753","Inhibitory"
"754","Inhibitory"
"755","Inhibitory"
"756","OD Mature"
"757","Endothelial"
"758","OD Immature"
"759","Endothelial"
"760","Inhibitory"
"761","Excitatory"
"762","Inhibitory"
"763","OD Immature"
"764","Inhibitory"
"765","Inhibitory"
"766","Inhibitory"
"767","OD Immature"
"768","OD Mature"
"769","OD Immature"
"770","Inhibitory"
"771","Inhibitory"
"772","Inhibitory"
"773","Excitatory"
"774","Inhibitory"
"775","Astrocyte"
"776","Inhibitory"
"777","Inhibitory"
"778","Inhibitory"
"779","Inhibitory"
"780","Inhibitory"
"781","OD Mature"
"782","OD Mature"
"783","Inhibitory"
"784","Inhibitory"
"785","Inhibitory"
"786","Inhibitory"
"787","OD Immature"
"788","Endothelial"
"789","OD Immature"
"790","OD Mature"
"791","Inhibitory"
"792","Inhibitory"
"793","Inhibitory"
"794","Inhibitory"
"795","Excitatory"
"796","OD Immature"
"797","Inhibitory"
"798","Inhibitory"
"799","Inhibitory"
"800","Inhibitory"
"801","Excitatory"
"802","Mural"
"803","Inhibitory"
"804","OD Mature"
"805","Mural"
"806","Inhibitory"
"807","OD Mature"
"808","Inhibitory"
"809","Inhibitory"
"810","Inhibitory"
"811","OD Mature"
"812","Inhibitory"
"813","Inhibitory"
"814","Inhibitory"
"815","Inhibitory"
"816","OD Mature"
"817","Inhibitory"
"818","Inhibitory"
"819","Inhibitory"
"820","OD Mature"
"821","OD Mature"
"822","Excitatory"
"823","Inhibitory"
"824","Inhibitory"
"825","Microglia"
"826","Excitatory"
"827","OD Immature"
"828","Inhibitory"
"829","Inhibitory"
"830","OD Mature"
"831","Microglia"
"832","Inhibitory"
"833","OD Immature"
"834","Excitatory"
"835","Excitatory"
"836","Inhibitory"
"837","OD Immature"
"838","OD Mature"
"839","Excitatory"
"840","Excitatory"
"841","OD Mature"
"842","OD Mature"
"843","Inhibitory"
"844","OD Mature"
"845","Inhibitory"
"846","Inhibitory"
"847","Inhibitory"
"848","Inhibitory"
"849","Inhibitory"
"850","Inhibitory"
"851","OD Mature"
"852","OD Immature"
"853","OD Mature"
"854","Inhibitory"
"855","OD Immature"
"856","OD Mature"
"857","Inhibitory"
"858","Inhibitory"
"859","Astrocyte"
"860","OD Mature"
"861","Inhibitory"
"862","Inhibitory"
"863","Excitatory"
"864","Excitatory"
"865","OD Mature"
"866","OD Mature"
"867","Inhibitory"
"868","OD Mature"
"869","Inhibitory"
"870","OD Mature"
"871","OD Mature"
"872","OD Mature"
"873","Inhibitory"
"874","Inhibitory"
"875","Inhibitory"
"876","Inhibitory"
"877","Endothelial"
"878","Inhibitory"
"879","Inhibitory"
"880","Inhibitory"
"881","OD Mature"
"882","Inhibitory"
"883","Inhibitory"
"884","Endothelial"
"885","Excitatory"
"886","Inhibitory"
"887","OD Mature"
"888","Inhibitory"
"889","Excitatory"
"890","OD Mature"
"891","Inhibitory"
"892","Inhibitory"
"893","Inhibitory"
"894","Inhibitory"
"895","Inhibitory"
"896","OD Immature"
"897","OD Mature"
"898","Inhibitory"
"899","OD Mature"
"900","OD Mature"
"901","Inhibitory"
"902","Mural"
"903","Inhibitory"
"904","Inhibitory"
"905","Inhibitory"
"906","Inhibitory"
"907","Inhibitory"
"908","Inhibitory"
"909","Microglia"
"910","OD Immature"
"911","Inhibitory"
"912","Inhibitory"
"913","Inhibitory"
"914","Inhibitory"
"915","Inhibitory"
"916","Inhibitory"
"917","Endothelial"
"918","OD Mature"
"919","Inhibitory"
"920","OD Mature"
"921","Inhibitory"
"922","Inhibitory"
"923","Inhibitory"
"924","Inhibitory"
"925","Inhibitory"
"926","Excitatory"
"927","Excitatory"
"928","Inhibitory"
"929","OD Mature"
"930","Inhibitory"
"931","Excitatory"
"932","Inhibitory"
"933","Mural"
"934","Inhibitory"
"935","Excitatory"
"936","Inhibitory"
"937","Inhibitory"
"938","OD Mature"
"939","Inhibitory"
"940","Inhibitory"
"941","Inhibitory"
"942","Inhibitory"
"943","Inhibitory"
"944","OD Immature"
"945","Inhibitory"
"946","Inhibitory"
"947","Inhibitory"
"948","Inhibitory"
"949","Inhibitory"
"950","Inhibitory"
"951","Inhibitory"
"952","Inhibitory"
"953","Excitatory"
"954","Excitatory"
"955","OD Mature"
"956","Inhibitory"
"957","Inhibitory"
"958","Excitatory"
"959","Endothelial"
"960","Inhibitory"
"961","Inhibitory"
"962","Inhibitory"
"963","Inhibitory"
"964","OD Mature"
"965","Inhibitory"
"966","OD Mature"
"967","Excitatory"
"968","OD Immature"
"969","OD Immature"
"970","Inhibitory"
"971","Inhibitory"
"972","Inhibitory"
"973","OD Mature"
"974","Inhibitory"
"975","Inhibitory"
"976","Ependymal"
"977","OD Mature"
"978","Inhibitory"
"979","Inhibitory"
"980","Excitatory"
"981","Inhibitory"
"982","OD Mature"
"983","Excitatory"
"984","Inhibitory"
"985","Inhibitory"
"986","Excitatory"
"987","Microglia"
"988","OD Mature"
"989","OD Mature"
"990","OD Mature"
"991","Inhibitory"
"992","Inhibitory"
"993","Inhibitory"
"994","Inhibitory"
"995","Inhibitory"
"996","OD Mature"
"997","Inhibitory"
"998","Microglia"
"999","OD Immature"
"1000","OD Mature"
"1001","Inhibitory"
"1002","Inhibitory"
"1003","Inhibitory"
"1004","OD Mature"
"1005","Mural"
"1006","OD Mature"
"1007","OD Mature"
"1008","Inhibitory"
"1009","Inhibitory"
"1010","Endothelial"
"1011","Inhibitory"
"1012","Microglia"
"1013","OD Mature"
"1014","OD Mature"
"1015","Inhibitory"
"1016","Excitatory"
"1017","Inhibitory"
"1018","Excitatory"
"1019","Inhibitory"
"1020","OD Mature"
"1021","OD Mature"
"1022","Inhibitory"
"1023","Inhibitory"
"1024","Inhibitory"
"1025","Inhibitory"
"1026","Inhibitory"
"1027","OD Mature"
"1028","Inhibitory"
"1029","Inhibitory"
"1030","Inhibitory"
"1031","Excitatory"
"1032","Excitatory"
"1033","Excitatory"
"1034","OD Mature"
"1035","Inhibitory"
"1036","OD Mature"
"1037","OD Mature"
"1038","Microglia"
"1039","Inhibitory"
"1040","Microglia"
"1041","Inhibitory"
"1042","OD Immature"
"1043","Inhibitory"
"1044","Inhibitory"
"1045","Excitatory"
"1046","Inhibitory"
"1047","OD Mature"
"1048","Inhibitory"
"1049","Inhibitory"
"1050","Mural"
"1051","Inhibitory"
"1052","Inhibitory"
"1053","Inhibitory"
"1054","Inhibitory"
"1055","Excitatory"
"1056","Mural"
"1057","Inhibitory"
"1058","Inhibitory"
"1059","Inhibitory"
"1060","Inhibitory"
"1061","Inhibitory"
"1062","Inhibitory"
"1063","Inhibitory"
"1064","Inhibitory"
"1065","Excitatory"
"1066","Excitatory"
"1067","Inhibitory"
"1068","Inhibitory"
"1069","Inhibitory"
"1070","Inhibitory"
"1071","OD Mature"
"1072","Inhibitory"
"1073","Endothelial"
"1074","OD Immature"
"1075","OD Immature"
"1076","Inhibitory"
"1077","OD Mature"
"1078","Inhibitory"
"1079","Inhibitory"
"1080","Inhibitory"
"1081","Inhibitory"
"1082","OD Mature"
"1083","OD Mature"
"1084","Inhibitory"
"1085","Inhibitory"
"1086","Mural"
"1087","Inhibitory"
"1088","OD Mature"
"1089","Inhibitory"
"1090","OD Mature"
"1091","Inhibitory"
"1092","Inhibitory"
"1093","Inhibitory"
"1094","Inhibitory"
"1095","Inhibitory"
"1096","Inhibitory"
"1097","OD Mature"
"1098","Inhibitory"
"1099","Inhibitory"
"1100","OD Mature"
"1101","Excitatory"
"1102","Inhibitory"
"1103","Inhibitory"
"1104","Excitatory"
"1105","Inhibitory"
"1106","Inhibitory"
"1107","Inhibitory"
"1108","Inhibitory"
"1109","Inhibitory"
"1110","Inhibitory"
"1111","Astrocyte"
"1112","OD Immature"
"1113","Excitatory"
"1114","OD Mature"
"1115","Inhibitory"
"1116","Mural"
"1117","Inhibitory"
"1118","Inhibitory"
"1119","OD Mature"
"1120","Inhibitory"
"1121","Microglia"
"1122","Inhibitory"
"1123","Inhibitory"
"1124","OD Mature"
"1125","OD Immature"
"1126","Inhibitory"
"1127","Inhibitory"
"1128","OD Mature"
"1129","Inhibitory"
"1130","OD Mature"
"1131","OD Mature"
"1132","Inhibitory"
"1133","Inhibitory"
"1134","OD Mature"
"1135","Inhibitory"
"1136","Inhibitory"
"1137","OD Mature"
"1138","Inhibitory"
"1139","Inhibitory"
"1140","OD Mature"
"1141","OD Mature"
"1142","OD Immature"
"1143","Inhibitory"
"1144","OD Mature"
"1145","Inhibitory"
"1146","Mural"
"1147","Excitatory"
"1148","OD Mature"
"1149","OD Mature"
"1150","Inhibitory"
"1151","Inhibitory"
"1152","Excitatory"
"1153","Inhibitory"
"1154","Inhibitory"
"1155","Microglia"
"1156","Inhibitory"
"1157","Inhibitory"
"1158","Inhibitory"
"1159","Inhibitory"
"1160","Inhibitory"
"1161","Inhibitory"
"1162","Inhibitory"
"1163","Inhibitory"
"1164","OD Mature"
"1165","OD Mature"
"1166","OD Mature"
"1167","Inhibitory"
"1168","Inhibitory"
"1169","Inhibitory"
"1170","OD Mature"
"1171","Excitatory"
"1172","Inhibitory"
"1173","Inhibitory"
"1174","OD Mature"
"1175","OD Mature"
"1176","Inhibitory"
"1177","OD Mature"
"1178","Inhibitory"
"1179","Astrocyte"
"1180","OD Mature"
"1181","Excitatory"
"1182","Excitatory"
"1183","OD Mature"
"1184","OD Immature"
"1185","Inhibitory"
"1186","OD Mature"
"1187","Inhibitory"
"1188","Inhibitory"
"1189","Inhibitory"
"1190","Inhibitory"
"1191","Inhibitory"
"1192","Inhibitory"
"1193","OD Mature"
"1194","Inhibitory"
"1195","OD Immature"
"1196","OD Mature"
"1197","OD Immature"
"1198","Excitatory"
"1199","Inhibitory"
"1200","Inhibitory"
"1201","Excitatory"
"1202","OD Mature"
"1203","OD Immature"
"1204","OD Mature"
"1205","Inhibitory"
"1206","Inhibitory"
"1207","OD Mature"
"1208","Excitatory"
"1209","Inhibitory"
"1210","Inhibitory"
"1211","Inhibitory"
"1212","Excitatory"
"1213","Excitatory"
"1214","Excitatory"
"1215","Inhibitory"
"1216","Inhibitory"
"1217","OD Mature"
"1218","Excitatory"
"1219","OD Mature"
"1220","OD Mature"
"1221","Inhibitory"
"1222","Inhibitory"
"1223","Inhibitory"
"1224","OD Mature"
"1225","Inhibitory"
"1226","Inhibitory"
"1227","Inhibitory"
"1228","Inhibitory"
"1229","OD Mature"
"1230","Microglia"
"1231","Excitatory"
"1232","Inhibitory"
"1233","Astrocyte"
"1234","Inhibitory"
"1235","Inhibitory"
"1236","Inhibitory"
"1237","OD Immature"
"1238","Inhibitory"
"1239","OD Mature"
"1240","OD Mature"
"1241","OD Mature"
"1242","Excitatory"
"1243","Inhibitory"
"1244","Inhibitory"
"1245","Excitatory"
"1246","Inhibitory"
"1247","OD Mature"
"1248","Inhibitory"
"1249","Excitatory"
"1250","Inhibitory"
"1251","Endothelial"
"1252","Inhibitory"
"1253","Inhibitory"
"1254","Astrocyte"
"1255","Inhibitory"
"1256","Inhibitory"
"1257","Endothelial"
"1258","Inhibitory"
"1259","Inhibitory"
"1260","Inhibitory"
"1261","OD Mature"
"1262","Endothelial"
"1263","OD Mature"
"1264","Microglia"
"1265","OD Mature"
"1266","Inhibitory"
"1267","OD Mature"
"1268","Astrocyte"
"1269","Inhibitory"
"1270","Inhibitory"
"1271","Inhibitory"
"1272","Excitatory"
"1273","Inhibitory"
"1274","Inhibitory"
"1275","OD Mature"
"1276","Excitatory"
"1277","Inhibitory"
"1278","Microglia"
"1279","OD Mature"
"1280","Inhibitory"
"1281","Excitatory"
"1282","Inhibitory"
"1283","OD Immature"
"1284","Inhibitory"
"1285","Inhibitory"
"1286","Inhibitory"
"1287","Inhibitory"
"1288","Inhibitory"
"1289","Inhibitory"
"1290","OD Mature"
"1291","Excitatory"
"1292","Excitatory"
"1293","Excitatory"
"1294","OD Mature"
"1295","Microglia"
"1296","Inhibitory"
"1297","OD Mature"
"1298","Inhibitory"
"1299","Excitatory"
"1300","Inhibitory"
"1301","Inhibitory"
"1302","Endothelial"
"1303","Inhibitory"
"1304","Inhibitory"
"1305","Inhibitory"
